subject,predicate,object,start_date,end_date
Reconquista,participant,Kingdom of Portugal,0732-01-01,1492-01-11
Battle of Trancoso,participant,Kingdom of Portugal,1140-01-01,1140-01-01
Siege of Lisbon,participant,Kingdom of Portugal,1142-01-01,1142-01-01
Capture of Soure,participant,Kingdom of Portugal,1144-09-01,1144-09-01
Second Crusade,participant,Kingdom of Portugal,1147-01-01,1149-01-01
Conquest of Santarém,participant,Kingdom of Portugal,1147-03-21,1147-03-22
Battle of Sacavém,participant,Kingdom of Portugal,1147-07-01,1147-07-01
Siege of Lisbon,participant,Kingdom of Portugal,1147-07-01,1147-10-25
Battle of Alcácer do Sal,participant,Kingdom of Portugal,1161-01-01,1161-01-01
Luso–Leonese War of 1162–1165,participant,Kingdom of Portugal,1162-01-01,1165-01-01
Battle of Palmela,participant,Kingdom of Portugal,1165-01-01,1165-01-01
Luso–Leonese War of 1167–1169,participant,Kingdom of Portugal,1167-01-01,1169-01-01
Siege of Badajoz,participant,Kingdom of Portugal,1169-04-01,1169-05-28
Capture of Juromenha,participant,Kingdom of Portugal,1170-11-01,1170-11-01
Siege of Santarém,participant,Kingdom of Portugal,1171-01-01,1171-01-01
Spanish Christian–Muslim War of 1172–1212,participant,Kingdom of Portugal,1172-01-01,1212-01-01
Siege of Abrantes,participant,Kingdom of Portugal,1179-10-01,1179-10-01
Capture of Coruche,participant,Kingdom of Portugal,1180-01-01,1180-01-01
Battle of Cabo Espichel,participant,Kingdom of Portugal,1180-08-05,1180-08-05
Siege of Évora,participant,Kingdom of Portugal,1181-06-01,1181-06-01
Battle of Ceuta (1182),participant,Kingdom of Portugal,1182-01-01,1182-01-01
Battle of Silves,participant,Kingdom of Portugal,1182-06-01,1182-06-01
Siege of Santarém,participant,Kingdom of Portugal,1184-07-04,1184-08-05
Siege of Silves,participant,Kingdom of Portugal,1189-07-28,1189-09-10
Almohad campaign against Portugal,participant,Kingdom of Portugal,1190-01-01,1191-01-01
Siege of Silves,participant,Kingdom of Portugal,1190-06-13,1190-07-01
Siege of Tomar,participant,Kingdom of Portugal,1190-07-20,1190-07-26
Siege of Alcácer do Sal,participant,Kingdom of Portugal,1191-04-01,1191-06-01
Siege of Silves,participant,Kingdom of Portugal,1191-07-04,1191-07-30
Luso-Leonese War of 1196–1200,participant,Kingdom of Portugal,1196-01-01,1200-01-01
War between Castile and León,participant,Kingdom of Portugal,1196-01-01,1197-01-01
Luso-Leonese War of 1219–1223,participant,Kingdom of Portugal,1219-01-01,1223-01-01
Portuguese Civil War of 1245–1247,participant,Kingdom of Portugal,1245-07-31,1247-01-01
Siege of Faro,participant,Kingdom of Portugal,1249-04-03,1249-04-03
Portuguese–Castillian War of 1250–1253,participant,Kingdom of Portugal,1250-01-01,1253-01-01
Luso-Castilian War of 1295–1297,participant,Kingdom of Portugal,1295-01-01,1297-01-01
Battle of Villanueva de Barcarrota,participant,Kingdom of Portugal,1336-01-01,1336-01-01
Luso-Castilian War of 1336–1339,participant,Kingdom of Portugal,1336-01-01,1339-01-01
Battle of Cape St. Vincent,participant,Kingdom of Portugal,1337-07-29,1337-07-29
Battle of Río Salado,participant,Kingdom of Portugal,1340-11-07,1340-11-07
Battle of Guadalmesí,participant,Kingdom of Portugal,1342-04-16,1342-04-16
Battle of Barcelona,participant,Kingdom of Portugal,1359-06-17,1359-06-19
Fernandine Wars,participant,Kingdom of Portugal,1369-01-01,1382-01-01
First Fernandine War,participant,Kingdom of Portugal,1369-01-01,1371-01-01
Siege of Monção,participant,Kingdom of Portugal,1369-01-01,1369-01-01
Siege of Zamora,participant,Kingdom of Portugal,1369-06-01,1371-03-06
Battle of Lisbon,participant,Kingdom of Portugal,1373-03-15,1373-03-15
Third Fernandine War,participant,Kingdom of Portugal,1381-01-01,1382-01-01
Battle of Saltes Island,participant,Kingdom of Portugal,1381-07-25,1381-07-25
1383–1385 Portuguese Interregnum,participant,Kingdom of Portugal,1383-04-01,1385-10-01
Galician campaign,participant,Kingdom of Portugal,1384-01-01,1384-01-01
Battle of Atoleiros,participant,Kingdom of Portugal,1384-04-14,1384-04-14
Siege of Lisbon,participant,Kingdom of Portugal,1384-05-29,1384-09-03
Naval Battle of the Tejo,participant,Kingdom of Portugal,1384-07-26,1384-07-26
Battle of Aljubarrota,participant,Kingdom of Portugal,1385-08-14,1385-08-14
Zayyanid–Iberian conflicts,participant,Kingdom of Portugal,1415-01-01,1543-01-01
Conquest of Ceuta,participant,Kingdom of Portugal,1415-08-30,1415-08-30
Aljazira Skirmish,participant,Kingdom of Portugal,1415-09-01,1415-09-01
Good Friday Skirmish (1417),participant,Kingdom of Portugal,1417-04-20,1417-04-20
Escaramuça dos Gazulos (1418),participant,Kingdom of Portugal,1418-06-23,1418-06-23
Ransack of Larache (1419),participant,Kingdom of Portugal,1419-07-01,1419-07-01
Second Siege of Ceuta,participant,Kingdom of Portugal,1419-08-22,1419-08-26
